COMMENT_ID,AUTHOR,DATE,CONTENT
z12uujnj2sifvzvav04chpypvofvexpoggg,Sudheer Yadav,2015-05-28T10:28:25.133000,SEE SOME MORE SONG OPEN GOOGLE AND TYPE Shakira GuruOfMovie﻿
z13zjlpo2nbehxwf322gelhzwmqwgn1mt,Raafat saeed,2015-05-27T04:19:29.178000,Check out this playlist on YouTube:﻿
z13uhhxp5nvig15yc04citszvtagwtmpqcc,Terry Short,2015-05-26T14:33:52.496000,"Support the fight for your 4th amendment right to privacy in your home.  Stop the NSA spying on Americans with the un Patriot Act Renewal. Rand Paul has spent 10.5 hours on the Senate floor in a Protest and Filibuster fighting for our  Constitution that this Nation is founded on. Join the fight at Rand Paul dot com. Spread The Word. We Have Someone That Cares About Our Nation.  Email your Senators, Congress men and women, tell them to support Rand. Tell the news to support Rand too Senator Rand Paul was up until <a href=""http://www.youtube.com/watch?v=pRpeEdMmmQ0&amp;t=1m00s"">1:00</a> am this passed Saturday morning fighting for our Constitution buy postponing the vote until this week. Our Constitution Matters join Rand in the fight to protect <a href=""http://it.ht"">it.ht</a> to privacy in your home and business.. Senator Rand Paul was up until <a href=""http://www.youtube.com/watch?v=pRpeEdMmmQ0&amp;t=1m00s"">1:00</a> am this passed Saturday  morning fighting for our Constitution buy postponing the vote until this week. Our Constitution Matters To All Of US, Help Rand Protect It by joining the fright for it.﻿"
z13gv1bxbuytgjl3o23fdr5r3kaadbbm1,‫حلم الشباب‬‎,2015-05-25T23:42:49.533000,Check out this video on YouTube:﻿
z12bfraboyajftgbz04ccbkr3xjxfxyxsew,Abdullah Fawzi,2015-05-25T06:25:22.319000,"coby this USL and past :<br /><a href=""http://adf.ly"">http://adf.ly</a> /1HmVtX<br />delete space after y﻿"
z132svd4fvq1wntfd221w5szfzezjri2r,Abdullah Fawzi,2015-05-25T06:23:24.405000,"see this<br /><a href=""http://adf.ly"">http://adf.ly</a> /1HmVtX﻿"
z121ireiytz2f1xzz04cc5fznlnchb1jphg,Toby Bywater,2015-05-25T01:47:45.053000,Thumbs up if your watching in 2015﻿
z12hsre40qqswblvg22kvlrhgznxul1xu04,JH Simene,2015-05-24T22:24:17.416000,Subscribe me please. i&#39;ll promise i&#39;ll sub back﻿
z12zcxyjxof0ihx4w04cf1gojz3zwnty4ts0k,Syed Akbar Ali,2015-05-24T19:33:39.585000,Check out this video on YouTube:﻿
z13azdiwulmkf5kmr22cwbpq1zrntfxby04,Alexander Solli,2015-05-24T12:32:18.770000,My uncle said he will stop smoking if this comment gets 500 likes! Please like this comment! Thanks.﻿
z13isvpjcwadtnxfa23sdd0ipp20wzxdd,rtfamily,2015-05-23T16:45:03.492000,"Definitley the song for 2010 when im not listening to gypsy SHAKIRA ROCKS<br /><span class=""proflinkWrapper""><span class=""proflinkPrefix"">+</span><a class=""proflink"" href=""https://plus.google.com/101721377578919894134"" oid=""101721377578919894134"">shakiraVEVO</a></span>﻿"
z122s1uitnfitv4ru04cet2jquumwz1zsyc0k,Madalynn Miller,2015-05-23T12:51:30.214000,Thank you. Please give your email. ﻿
z123ydw50qjkfzm5s04cdlzziubxtz0ijfk,redouane najja,2015-05-23T08:57:27.240000,Fuck it was the best ever 0687119038 nummber of patrik kluivert his son share !﻿
z13wd3dwlrifgl3mj22vcdci0yiaubueb,Hermen De Greef,2015-05-22T21:46:43.778000,Yea stil the best WK song ever<br />Thumbs up of you think the same<br />﻿
z134y1ki5svvwt43i23wz5kqsxmaettuu,AlabaGames,2015-05-22T00:31:43.922000,Subscribe my channel  I RECORDING FIFA 15 GOALS WATCH NOW :D﻿
z13chhog1nbldb2xp04cgtkxcx35z1djpf0,Free Video Tv,2015-05-21T21:15:41.869000,subscribe to me and I wil subscribe to you back﻿
z13fzxyw3q3bupy0w22oc3wrmu2qdtmu4,Lucas Bonini,2015-05-20T17:15:30.741000,Gusttavo Lima Você não me conhece <br />Check out﻿
z131uprw3qv4w5iou04cjbbgtvjedpoonvs0k,Ruchira Naidu,2015-05-20T14:34:27.224000,"Help shakira&#39;s waka waka be the first song by a female artist to reach 1 billion views.<br />(dark horse is ahead by roughly 100 million more views, and roar has only 50 million more views)<br /><a href=""https://www.youtube.com/watch?v=pRpeEdMmmQ0"">https://www.youtube.com/watch?v=pRpeEdMmmQ0</a>﻿"
z12jxbfwpnr2u3g1z23sshzxdobre3x0f,nosa bella,2015-05-18T22:19:53.735000,I subscribed it<br />﻿
z13rv5wieu2fdnogl04cdl0bdmjuunpwcnk0k,C Williams,2015-05-18T21:51:36.079000,Check out this playlist on YouTube<br />﻿
z12yhleh5k2lcxtr304chn2gatiwur3xhz40k,Lizle Productions,2015-05-16T11:33:22.322000,Top three Shakira songs (my choice) <br /><br />1- Waka Waka (it&#39;s time for Africa)<br /><br />2- Can&#39;t remember to forget you <br /><br />3- Empire<br /><br />Like this comment if u like Shakira ﻿
z122tvoquqzuirdhu04cfbfznza2jt05juk0k,gamila Khalil,2015-05-14T19:02:59.210000,Check out this video on YouTube:﻿
z13jgncbqw2cwjroj04cfxjisoyrsj2z4kw0k,Nancy Kiragu,2015-05-12T11:48:27.242000,Check out this playlist on YouTube:Central ﻿
z13ri55z2su3xp2v123ie1ywjn31zj0sl,RezAIIDay,2015-05-11T19:01:00.573000,"If you could take time &amp; spare a min to read this, then thank you. <br /><br />Im a rapper, if we&#39;re gonna be honest theres thousands maybe even millions<br /><br />of those in the world but not too many with ambition, dedication &amp; passion.<br /><br />I don&#39;t have money for huge YouTube advertisements or incredible music videos<br /><br />so all im left with is comments to expose my music.<br /><br />If you could take a moment and give me a chance ill make you a believer<br /><br />I would love? nothing more than a loyal following on YouTube. For anyone who <br /><br />Reads this could you press the &quot;THUMBS UP&quot;  others will see it.<br /><br />Doing so will help me push closer to my dream :) Thank You﻿"
z13dhjwwakylwb1ed23vd1mpsmnju5n0o,GALAXIAN HD,2015-05-09T16:51:31.436000,please visit my channel﻿
z13lwva51nepgdxi404ceffbmqnfgje410c,‫انس الغامدي‬‎,2015-05-09T00:09:35.368000,Pleas subscribe my channel GamezZMTA﻿
z13axdfy2v21eltyr04cib5jvzz3etij0g0,GamezZ MTA,2015-05-09T00:08:26.185000,Pleas subscribe my channel﻿
z12rvnaqcprqe1jmt23fynpy0ziidrrzg04,joory amora,2015-05-09T00:07:53.422000,Pleas subscribe GamezZ MTA my channel<br />﻿
z12nsvmo4yrifjeg504cfdvrhm2vt5p4wfg,Simon Morales,2015-05-08T20:28:10.938000,"cool song check out my animal trafficking petition.<br /><a href=""http://www.thepetitionsite.com/387/433/550/stop-animal-trafficking/?cid=headerClick"">http://www.thepetitionsite.com/387/433/550/stop-animal-trafficking/?cid=headerClick</a>﻿"
z13oxjdhkxzqyti1123rvxox2om4fpqqt04,Felipe Browne,2015-05-08T01:52:42.291000,Check out this video on YouTube: ﻿
z12ohx343rfzs3nmz22rfnzbkqvqtnxwt04,CliP ArT shoW,2015-05-06T07:40:02.079000,Subscribe and Win a CAP<br />       ☆☆☆☆☆﻿
z13tgdxgmputf1xfk22jjzhqgpi4v3xo104,Pauline Martinez,2015-05-06T03:21:12.870000,Check out this playlist on YouTube:﻿
z13zhngyrsyeffkvf22cjvtofreiub1lp,Hawa Bah,2015-05-03T17:20:32.978000,Hey guys love this but check out this girl name cause she knows how to dance so search up ej ba dancing.﻿
z131i1xypyunynkci22ijfxr2tuaf1nav04,Si Ham,2015-04-30T07:59:41.488000,"if you want to win money at hopme click here <a href=""https://www.paidverts.com/ref/sihaam01"">https://www.paidverts.com/ref/sihaam01</a> it&#39;s work 100/100﻿"
z13asbvq1n2ttvptn23vd1mpsmnju5n0o,GALAXIAN HD,2015-04-26T17:36:25.815000,i am from Brazil please subscribe my channel love you all﻿
z13szlz5sp2zw3fxc04cc3nbhlmjxnphivg0k,Robloxia Asap,2015-04-25T19:54:03.298000,Could Spanish people understand this?<br /><br />Any way&#39;s I how you doing subscribe to me I brake things<br /><br />-_-﻿
z133vdcgmrijgrhld22zst0i2nfnvdvxa04,How To,2015-04-25T06:38:00.463000,PLEASSSSSSSSSSSSSSSS SUBSCRIBEEEEEEEEEE MY CHANNNNNNELLL PLZZ﻿
z13twxvoxwz1f11pk04cij1b0zi1ifbhdno0k,mariam shoja,2015-04-23T10:14:34.527000,Check out this video on YouTube:﻿
z134zb2xvybxwt54s04cexswtliatpbqxjs,Marius Dima,2015-04-23T09:27:06.888000,"New way to make money easily and spending 20 minutes daily --&gt; <a href=""https://www.paidverts.com/ref/Marius1533"">https://www.paidverts.com/ref/Marius1533</a>﻿"
z12gj5gi4leawfcni225jty5wzvecj53m,Jet Lee,2015-04-23T08:08:38.925000,There are beautiful songs please subscribe﻿
z13eupqxoyr2jf4xm04cetijyrjezfxovgw,500 Subscribers with no videos?,2015-04-22T17:36:57.326000,Can this channel get 500+ subscribers? You can make that happen :D﻿
_2viQ_Qnc6_pJLNSe-ysm1Q4pDNKWrl6EWw0cSIBV14,Ali Reza Nipu,2013-11-05T06:23:41.092000,"I really love watching football and also I’ve started off making income with out financial risk from acquiring bonus deals. It’s this weird technique where you wager on something with one bookmakers and bet against it on Betfair. You secure the bonus as income . A chap named Jim Vanstone is finding the wagers free on his own website Vanstone Secrets (Google it!). I’ve made about 500 quid thus far. And it is cost-free. I guess the bookies pay him to obtain new consumers, yet this actually works."
_2viQ_Qnc6_-PxFkTE_Kx-BN9mjiueYqg5wrx_hMGb4,angela pollman,2013-11-04T01:38:02.979000,and how many subscribers compared to her over a million
_2viQ_Qnc6_ZYkMn1fS805Z6oy8ImeO6pSjMLAlwYfM,mile panika,2013-11-03T14:39:42.248000,"I absolutely adore watching football plus I’ve started earning income with out risk from claiming bonus deals. It’s a weird technique where you put money on something with one bookmakers and put money against it on Betfair. You acquire the bonus as income . A lad named Jim Vanstone is selecting the wagers free on his website Vanstone Secrets (Google it!). I have generated about 600 quid so far. And it’s free. I assume the bookmakers pay him to get new men and women, but it succeeds."
_2viQ_Qnc6_NsO9XDTWC1TlbTRevVI-QGIqkXxuyl60,AllDailyVines,2013-11-03T12:11:52.335000,hahahahah ♥♥♥♥ :D like vines ?  Subscribe to me for daily vines
_2viQ_Qnc6_J91n3DVA-4R9BjK8WFHtrJvrEn31ogGU,prem kumar,2013-11-03T11:15:28.071000,"Hi there, have you heard about DribbleProShot? Just do a search on Google. On their web site you can watch a smart free video featuring the best way to significantly boost your football aka soccer skills in no time... It turned Nick into a much better football or soccer player...His team mates were definitily amazed! I hope it will help you also..."
_2viQ_Qnc68YSD3Jr7qwbu0qvY0HeLZysgcn6ievlLI,rijia babu,2013-11-02T15:17:41.037000,"Hey, have you tried &quot;DribblePROshot&quot; yet? Just do a search on Google. On their website you will find a useful free video demonstrating the right way to enormously improve your soccer or football skills in no time... It transformed Fausto into a substantially better football/soccer player...to the amazement of his team mates. Hopefully it works for you too."
_2viQ_Qnc6-_qc98D_T8ICCw3meS1f1YJqU9SA-X1t4,lildeneiro,2013-11-01T11:03:14.840000,"Still amazing this song!! I did a French Kpop Parody. Please come on my Channel to watch it. Share, suscribe, comment Thanks"
_2viQ_Qnc6-FlNdROU4zIseFCr76DMg7l8N-trEo764,real money,2013-10-30T15:55:56.097000, subscribe to my feed
_2viQ_Qnc6_1RPym_S70n6Rv617-TI9Z8GVhGlwXs_I,AllDailyVines,2013-10-28T00:00:12.526000,:D subscribe to me for daily vines
_2viQ_Qnc68YBtosyTVGLy_Fs4YYXoiWd5-wKXnaIw4,celebsongspoof,2013-10-27T19:00:17.015000,"Hey guys whats up? I found this app that lets you get free gift card vouchers like psn cards,X-box live cards and even amazon gift cards. For free! All you have to do is  simply just download the app from the app store. It is called juno wallet. All you have to do is just sign up for the app and then complete a few surveys or just download some other free apps and you get money like 10 cents. Also, if you type in the code IM2458444. You will also start off with $0.25 free!! "
_2viQ_Qnc69LaqGJOI7p8VvK_26tIy8R0g_z-_ye79c,Laura Brown,2013-10-27T02:55:06.764000,"You guys should check out this EXTRAORDINARY website called FIREPA.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at FIREPA.COM !   Visit FIREPA.COM and check it out!   Lake   . Duzafizz . Singlewave . Spourmo . Burder . Colorful . Claster . Incandescent . Ambitious . Winooze . Absorbing . Macabre . Crestboot . Boxium . Womanly . Tan . Ybuwyn . Forgetful . Pepelexa . Zealous"
_2viQ_Qnc6-fnXF3jNuC5sr8txrOVFd4Uozj9Y4xC-w,FreshisYummy,2013-10-26T06:28:32.523000,Waka Waka!:D   Check out my new HALLOWEEN VIDEO!:)
_2viQ_Qnc6-awsV_zO5HWBhiYFzj5-4qgeeFv1iJwRU,Ferdi David,2013-10-25T11:26:10.848000,we are 14 year old boys we are trying to enter in the music industry Maybe we are just a dreamers but we are not the? only one. Please give us one chance to prove ourself to you. we know these things are annoying as hell we are sorry? about that. But we do anything to get music heard. Please visit our channel subscribe if you like and thumb this comment up so everyone can see we have made a song called: I Wanna Play A Game please take a look on our channel Thankss!!!
_2viQ_Qnc69HTQ21lx0wtZ4TFYSpc_gMDApvlQt0q8o,Ishfaq khan,2013-10-21T07:18:41.460000, plz i wilsubscribe me frndzzl subscribe u back
_2viQ_Qnc68YhzlKOdq3h2y3v8TCi0RQSIFzQP8hltY,Derek Moya,2013-10-21T05:47:26.457000,"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at MONEYGQ.COM !   Visit MONEYGQ.COM and check it out!  Why does the fragile swim enlist the person? How does the ice audit the frequent son? The fantastic chance describes the rate."
_2viQ_Qnc6_KD8seCZD8AcEirg_4NEFXuEO1fKw3lmY,VideoPro,2013-10-20T20:52:44.901000,SUBSCRIBE ME AND I REQUITE
_2viQ_Qnc69ShtSmsaBOGFHrTAVCkLAtpOr40oiL5Yg,James Cook,2013-10-20T13:31:10.083000,"Stop Wasting Up Your Time and  Get Paid To Mess Around On Facebook And Twitter!  GET PAID UPTO $25 to $35 AN HOUR... Only at 4NetJobs.com  Work from the Comfort of your Home... We are Currently Hiring People from all Over the World,  For a Wide Range of Social Media Jobs on Sites such as Facebook,Twitter and YouTube.  You don&#39;t Need any Prior Skills or Experience and You can Begin Work Immediately!  You Can Easily Make $4000 to $5000+ Monthly Income…Only at 4NetJobs.com"
_2viQ_Qnc69fyi7qH4TDPB7CSJnioSrJi3CoQXBbjCo,Mayla Stephens,2013-10-18T20:28:32.779000,I love this!!!!! This is one of my fave songs now and I just subscribed :) :) :)
_2viQ_Qnc6_kxEjV8Ut57SeEGdqSKmC8VGP1K38Q2qY,Scott Johnson,2013-10-18T19:45:43,"You guys should check out this EXTRAORDINARY website called ZONEPA.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at ZONEPA.COM !   Visit Zonepa.com and check it out!  Why does the statement conciliate the acidic stretch? The earth recognizes the money. When does the numberless number transport the trade?"
_2viQ_Qnc69wKf5GrJmQ5IZqKaEKr-rIjB5OqBC1Y_M,HowToMakeALotOfMoneyFast,2013-10-18T16:44:51.714000,How To Make A Lot Of Money Fast
_2viQ_Qnc6-I58GFzl5H7twI_SISp0gQ8DndetxF2i0,link chick,2013-10-18T13:17:29.088000,visit &quot; ww estiloproduction com &quot; best website to make money
_2viQ_Qnc69N53yIJS3ZrRHmdbS1qZLnkXgodzIegJM,BloggerGaming2229,2013-10-16T19:05:33.329000,Message :   GTA V  $20  FIFA 14 $15  PS4  $200  Galaxy S4 mini $250  Ipad 4   $200  visit the site hh.nl
_2viQ_Qnc68eqIzELH00rh9umGlUKSRuQvWZAXhr_qM,James Cook,2013-10-15T17:00:04.573000,"Stop Wasting Up Your Time and  Get Paid To Mess Around On Facebook And Twitter!  GET PAID UPTO $25 to $35 AN HOUR... Only at 4NetJobs.com  Work from the Comfort of your Home... We are Currently Hiring People from all Over the World,  For a Wide Range of Social Media Jobs on Sites such as Facebook,Twitter and YouTube.  You don&#39;t Need any Prior Skills or Experience and You can Begin Work Immediately!  You Can Easily Make $4000 to $5000+ Monthly Income…Only at 4NetJobs.com"
_2viQ_Qnc69h-dBshypMERLv5by8Rf7I8TSLnP1Lnoo,Steven Slater,2013-10-15T09:56:19.653000,Being paid to respond to fast paid surveys from home has enabled me to give up working and make more than 4500 bucks monthly.  To read more go to this web site bit.ly\1bSefQe
_2viQ_Qnc6-grcnVFTtwnhvC9tpgVG33p5a0AZHKlLI,James Cook,2013-10-14T10:35:03.861000,"Hello Guys...I Found a Way to Make Money Online You Can Get Paid To Mess Around On Facebook And Twitter! GET PAID UPTO $25 to $35 AN HOUR...Only at 4NetJobs.com Work from the Comfort of your Home... They are Currently Hiring People from all Over the World, For a Wide Range of Social Media Jobs on Sites such as Facebook,Twitter and YouTube You don&#39;t Need any Prior Skills or Experience and You can Begin Work Immediately! You Can Easily Make $4000 to $5000+ Monthly Income…Only at 4NetJobs.com"
_2viQ_Qnc6-q29okw74KTmVXCvhacMZ5NjAiYdAwHww,Louis Bryant,2013-10-12T15:55:05.693000,"You guys should check out this EXTRAORDINARY website called ZONEPA.COM . You can make money online and start working from home today as I am! I am making over $3,000+ per month at ZONEPA.COM ! Visit Zonepa.com and check it out! The meat discusss the successful memory. How does the peaceful unit arbitrate the guide? The addition designs the worried loss."
_2viQ_Qnc69vgWhC2acrKSH-tvjKq1KuKBca1UtB8wk,Louis Bryant,2013-10-12T15:20:19.887000,"You guys should check out this EXTRAORDINARY website called ZONEPA.COM . You can make money online and start working from home today as I am! I am making over $3,000+ per month at ZONEPA.COM ! Visit Zonepa.com and check it out! How does the mother approve the axiomatic insurance? The fear appoints the roll. When does the space prepare the historical shame?"
_2viQ_Qnc69mufWqn8FcFN6u6tahNMkNWgB4-jKb2hs,Louis Bryant,2013-10-12T15:19:50.282000,"You guys should check out this EXTRAORDINARY website called ZONEPA.COM . You can make money online and start working from home today as I am! I am making over $3,000+ per month at ZONEPA.COM ! Visit Zonepa.com and check it out! The plausible summer submits the behavior. When does the grass check the peaceful seat? The country strategizes the edge."
_2viQ_Qnc6_QZJzAERyAVzhcr3jy2ctVM4zQMfesQWQ,The NeedleWork,2013-10-12T09:32:49.512000,Check out my channel :)
_2viQ_Qnc6_qs30Ph_whafzKoWVyh_xIYpN3-7U_VmA,high tems,2013-10-12T09:13:19.285000,subscribe  my
_2viQ_Qnc69BVRuBYCJ6ik7gdMwTiBRS9DDnTjNs-Gg,James Cook,2013-10-10T18:08:07.815000,"Hello Guys...I Found a Way to Make Money Online You Can Get Paid To Mess Around On Facebook And Twitter! GET PAID UPTO $25 to $35 AN HOUR...Only at 4NetJobs.com Work from the Comfort of your Home... They are Currently Hiring People from all Over the World, For a Wide Range of Social Media Jobs on Sites such as Facebook,Twitter and YouTube You don&#39;t Need any Prior Skills or Experience and You can Begin Work Immediately! You Can Easily Make $4000 to $5000+ Monthly Income…Only at 4NetJobs.com"
_2viQ_Qnc6-nD73Whq8IPs5SpJ3v8OO6PlgvyoopAqQ,Merabi Mazmaniani,2013-10-10T09:39:11.008000,Please visit this Website: oldchat.tk
_2viQ_Qnc68tZfiBq8O7pExj1MmWcnorsu-kyc0Jz8Q,Merabi Mazmaniani,2013-10-09T14:20:36.334000,Please visit this Website: oldchat.tk
_2viQ_Qnc6-k1VSPmCd2mrSAAQXChBMxF7oeJGCepUU,Anderson St. Martin,2013-10-09T03:22:24.252000,"Hello everyone my name&#39;s Anderson and i&#39;m a singer. not expecting to buy subscribers with words BUT to gain them with my voice. I might not be the best but my voice is different (in a good way) and i&#39;ll work harder than anyone out there to get better, &#39;cuz &quot;yeah&quot; i have a dream  a HUGE one, (who doesn&#39;t?) so please take 3 minutes of your time to check out my covers. Give me a chance you won&#39;t regret it If you feel like subscribing that&#39;d be awesome and it&#39;d mean the world to me THANK YOU SO MUCH"
_2viQ_Qnc68jroUSzJhg6jrxFj86oxZrAtGB_PWbOm4,latrell brown,2013-10-08T18:26:06.234000,Check Out Daneja Good Girl
_2viQ_Qnc6-dfXGv_qVn1mdoRB9dAfp4ppjUsNu-GDU,OnlineJobs99,2013-10-07T03:35:34.267000,"Hello Guys...I Found a Way to Make Money Online You Can Get Paid To Mess Around On Facebook And Twitter! GET PAID UPTO $25 to $35 AN HOUR...Only at 4NetJobs.com Work from the Comfort of your Home... They are Currently Hiring People from all Over the World, For a Wide Range of Social Media Jobs on Sites such as Facebook,Twitter and YouTube You don&#39;t Need any Prior Skills or Experience and You can Begin Work Immediately! You Can Easily Make $4000 to $5000+ Monthly Income…Only at 4NetJobs.com"
_2viQ_Qnc6_eMN0NwT5paySjJPFbN5xI9W8C1Bwoq1U,WhatUKnow,2013-10-07T02:59:17.497000,Subscribe to my Youtube Channel!! :) Suscribite a mi canal de Youtube -WhatUKnow
_2viQ_Qnc68DyUSaxqDmv-6yHPVUpKeYAZhrh2PUMZg,jameskileymusic,2013-10-06T05:38:47.524000,Check out my bass cover of hips don&#39;t lie by shakira!
_2viQ_Qnc6-TLlBlT0itl1DbMJQGBx_6ZbscBXA3Nww,WhatUKnow,2013-10-06T03:24:16.073000,Subscribe to my channel :)  &lt;3
_2viQ_Qnc69wrsSgR2azuokmk5-WDQVVI2lCV-WqJGA,Hadrien Robalo Marques,2013-10-05T22:31:44.181000,The britishs called that soccer but you know the true word is football and the US Foot is called rugby. That works like that in EUW ( Germany/ Netherland/ France/ Portugal/ Belgium/ Spain/ ... ) Just because the Britishs don&#39;t agree to be like us because they are UNIQUE. That&#39;s the reason why they also refused to have euro (€) as money
_2viQ_Qnc69JZ1f3TJQWKMLhmdP0inDDPwOvzMQiFjE,Su Xianfeng,2013-10-05T11:54:10.192000,subscribe now!!!!!! love the song!!!!!! love football!!!
_2viQ_Qnc6-1fj_YPI5S4X9e9VnvAzoykRbwZGAlYgo,emoclew71,2013-10-04T19:18:44.700000,1 753 682 421 GANGNAM STYLE ^^
_2viQ_Qnc6_rAWi6BK2OqTQ_Ob0X8DkXenO0qL0qWm0,Ryan Alexander Osborn,2013-10-04T02:26:08.693000,"Believe that Jesus Christ is your savior for all your sins. If you truly believe in Jesus Christ to be your savior for all your sins then you will go to Heaven. If you believe in Jesus Christ then you are saved and you are in salvation and you have gained God’s righteousness. It matters not how much you have sinned in the past, in the present and especially in the future. Believe that Jesus Christ is your savior and you will go to Heaven forever and that is the whole truth. Spread the truth. "
_2viQ_Qnc6-kUg8jc2n9-Cudm5lEsM-cSzIjF182TJo,Pyles Baxter,2013-10-03T02:25:19.324000,"  Perhaps you have seen the newest Miley Cyrus SECRET video ?   She&#39;s sucking an old man&#39;s cock ,  If you wish to see her , check out the celebrity website beneath :   miley-secret-video.co.uk "
_2viQ_Qnc6_xOpLcxFFeUEgEYvQjttGcFYeMZ2lK4yY,Pyles Baxter,2013-10-03T01:52:36.990000,"  Haha , Miley Cyrus has done it once again  Today someone leeched a porno video with her on a celeb site   I believe the website link is : miley-celeb-news.co.uk in case you want to view it.... "
_2viQ_Qnc6_7GI-VeVlj8gEzvkgATIX3jK-7J1kwWEY,Pyles Baxter,2013-10-03T00:21:52.191000," I really can&#39;t comprehend Miley Cyrus , she actually is a high profile and she tapes herself banging Today a video was leeched with her sucking and fucking The video has been posted at the celebrity website under :  miley-celeb-news.co.uk "
_2viQ_Qnc69D1Jxs1IlkkF0Xzce0uBoJN_OzDHnfmV0,latrell brown,2013-10-01T23:42:30.928000,CHECK OUT DANEJA GOOD GIRL
_2viQ_Qnc68Lfu14asBabOAcqL9B7Anp_6zX66rSWP0,42o2 Studios,2013-10-01T19:10:56.808000,Check out my covers please!
_2viQ_Qnc68dceJbTRNTP2sksMxa_lm35LaCu_jPluY,Shadrach Grentz,2013-09-29T13:59:42.162000,"Hey Music Fans I really appreciate any of you who will take the time to read this, and check my music out! I&#39;m just a 15 year old boy DREAMING of being a successful MUSICIAN in the music world. I do lots of covers, and piano covers. But I don&#39;t have money to advertise. A simple thumbs up to my comment, a comment on my videos or a SUBSCRIPTION would be a step forward! It will only be a few seconds of your life that you won&#39;t regret!!! Thank u to all the people who just give me a chance! :) "
_2viQ_Qnc69A12xULkAOn5BEAGFKxQTTP02SSbsMsmc,Vincent T.,2013-09-29T00:44:30.904000,"Echa un vistazo a la remezcla! / Check out the remix!  MILEY CYRUS - WRECKING BALL (THE HOUSE OF EDM REMIX)  MILEY CYRUS - WRECKING BALL (VINCENT T. REMIX)  ...click, enlace, suscríbase! / ...click, link, subscribe!"
_2viQ_Qnc6-CRJO_6pvsByopsnD3qpCbK0IPhkvTuS8,RanMC & RVNNIN' RVNN,2013-09-26T20:13:40.670000,Hey check out our new musicvideo &#39;&#39;Life&#39;s a celebration&#39;&#39; Peace !
_2viQ_Qnc6_onwOgxju-DV6WkqHZEOztCXD04EgEFBU,Hidden Love,2013-09-24T14:29:54.072000,Hi. Check out and share our songs.
_2viQ_Qnc6_rdI1pDiJrFRv9uqSk3MizTk-rQeALntU,Noise​Break,2013-09-21T22:11:23.900000,Subscribe &amp; Like /watch?v=5tu9gN1l310
_2viQ_Qnc69uhVbXr8SjkhLHu7T1HOxqrEF1f6h8vUA,Finuccsi Aka csincsilla3M,2013-09-21T15:43:40.171000,/watch?v=Dtqcftr1Fac JUSTIEN BIEBER CAR 2013. LIKE&amp;SUBSCRIBE
